iter	Passed	Remaining
0	0	75
1	1	69
2	2	70
3	2	70
4	3	70
5	4	70
6	5	69
7	5	68
8	6	68
9	7	67
10	8	66
11	8	65
12	9	64
13	10	63
14	11	62
15	11	61
16	12	60
17	13	59
18	13	59
19	14	58
20	15	57
21	16	56
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	51
28	20	50
29	21	50
30	22	49
31	22	48
32	23	47
33	24	46
34	24	46
35	25	45
36	25	44
37	26	43
38	27	42
39	27	41
40	28	40
41	29	40
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	32	35
48	33	34
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	25
62	43	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	48	19
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	67	0
